id,text,label,sa,counter1,conter2,counter3,counter4,counter5
12,"250- we used to be bestfriends and talk all the time , and now we never talk but I miss you . And your really good at baseball
",1,1,"We used to be tight, always chattin', now we don't even talk. I be missing you. And you real nice at baseball.","We used to be tight, always chattin', now we don't but I miss ya. And you real good at baseball, for real.","We used to be tight, chattin' all the time, now we don't even talk. I miss ya. And you really got game in baseball.","Used to be tight, always chattin', now we don't. Miss you, tho. And you killin' it on that baseball game, for real.","We used to be tight, choppin' it up all day long, now we don't even rap no more - I miss you. Plus, you straight killin' it in baseball."
13,"_TWITTER-ENTITY_ why u no text me back
",0,1,_TWITTER-ENTITY_ how come you ain't text me back,@_TWITTER-ENTITY_ how come you ain't hit me back?,_TWITTER-ENTITY_ how come you ain't text me back,_TWITTER-ENTITY_ why you ain't hit me back,@_TWITTER-ENTITY_ how come you ain't text me back?
14,"had a great day actually .. #blessed
",1,1,actually had a bomb day ya know.. #blessed,had a dope day for real .. #blessed,Had a real good day for real... #blessed,had a dope day for real .. #blessed,had a real good day for real.. #blessed
15,"Yeah I just tweeted country lyrics
",0,1,I just posted some country song lyrics on Twitter.,I just shared country song lyrics on Twitter.,I just posted some country lyrics on Twitter.,I just posted some country song lyrics on Twitter.,"Yeah, I just put out some country song words on Twitter."
16,"_TWITTER-ENTITY_ oh I forgot how's that goin ?!
",1,1,"@_TWITTER-ENTITY_ oh I forgot, how's that comin' along?!",_TWITTER-ENTITY_ oh I forgot how's that rollin?!,"_TWITTER-ENTITY_ oh I forgot, how that been goin' fo' ya?!",_TWITTER-ENTITY_ oh I forgot how's that comin' along?!,"_TWITTER-ENTITY_ oh I forgot, how that's movin'?"
17,"_TWITTER-ENTITY_ maybe i should
",1,1,_TWITTER-ENTITY_ maybe I should,_TWITTER-ENTITY_ maybe I should,_TWITTER-ENTITY_ maybe I should,_TWITTER-ENTITY_ maybe I should,"Perhaps I oughta, _TWITTER-ENTITY_"
18,"That text I jut got from my coach < #conditioning day
",0,1,That message I just got from my coach < #conditioning day,Dat text I just got from ma coach < #conditioningday,Dat text I just got from my coach < #conditioning day,That message I just got from my coach < #workout day,That text I jus got from my coach < #conditioning day
19,"I tweet to Colleen until she answers
",1,1,I'ma keep tweeting at Colleen til she hit me back.,I'ma keep tweetin' at Colleen till she respond.,I'ma keep tweeting at Colleen till she hit me back.,I'ma be tweetin' at Colleen till she holla back.,I be tweetin' at Colleen 'til she holler back.
20,"_TWITTER-ENTITY_ _TWITTER-ENTITY_ _TWITTER-ENTITY_ yeah girl . Lets get fried too
",1,1,_TWITTER-ENTITY_ _TWITTER-ENTITY_ _TWITTER-ENTITY_ yeah girl. Let's get lit too.,_TWITTER-ENTITY_ _TWITTER-ENTITY_ _TWITTER-ENTITY_ yeah girl. Let's get lit too.,_TWITTER-ENTITY_ _TWITTER-ENTITY_ _TWITTER-ENTITY_ yeah girl. Let's get lit too.,_TWITTER-ENTITY_ _TWITTER-ENTITY_ _TWITTER-ENTITY_ Yeah girl. Let's get lit too.,_TWITTER-ENTITY_ _TWITTER-ENTITY_ _TWITTER-ENTITY_ yeah girl. Let's get lit too.
21,"_TWITTER-ENTITY_ your tweets always get me laughing lmao
",1,1,_TWITTER-ENTITY_ yo tweets always got me crackin' up lmao,_TWITTER-ENTITY_ yo tweets always got me crackin' up lmao,_TWITTER-ENTITY_ yo tweets always got me crackin' up lmao,_TWITTER-ENTITY_ yo tweets always got me cracking up lmao,_TWITTER-ENTITY_ yo tweets always got me crackin' up lmao
22,"Too much by drake
",1,1,"This a lot, Drake.","This too much, for real. - By Drake",This too much by Drake.,This too much by Drake.,"Dis too much by Drake.
"
23,"Kiss Where The SUN Dont Shine
",1,0,Kiss where the sun doesn't shine.,Kiss where the sun doesn't shine.,Kiss where the sun doesn't shine.,Kiss where the sun doesn't shine.,Kiss where the sun doesn't shine.
24,"Luca is the best volleyball player ive ever seen ...
",1,1,Luca the coldest volleyball player I ever laid my eyes on...,Luca the dopest volleyball player I ever seen...,Luca the dopest volleyball player I ever seen...,Luca the illest volleyball player I ever peeped...,Luca the coldest volleyball player I ever seen...
25,"Should I download iOS 7 ?
",1,1,Should I cop that iOS 7?,Should I cop iOS 7?,Should I cop iOS 7?,Should I cop iOS 7?,Should I get iOS 7 on my phone?
26,"_TWITTER-ENTITY_ this may have been the most unproductive day of my life . And I have zero remorse for it
",1,1,_TWITTER-ENTITY_ this might've been the least productive day of my life. And I ain't feelin' no kinda way about it.,"_TWITTER-ENTITY_ man, this might've been the laziest day of my life. And I ain't even sorry 'bout it.","_TWITTER-ENTITY_ man, this mighta been the most unproductive day of my life. And I ain't got no regrets bout it.",_TWITTER-ENTITY_ this mighta been the least productive day of my life. And I ain't feelin' an ounce of regret for it.,_TWITTER-ENTITY_ this mighta been the most unproductive day of my life. And I ain't got no regrets about it.
27,"O-DAYYYYY happy birfday _TWITTER-ENTITY_
",1,1,"Ayyeeee, happy born day @_TWITTER-ENTITY_","AYEEEE, happy born day _TWITTER-ENTITY_","AYEEEEEEEE, happy born day _TWITTER-ENTITY_","Ayyeeeee, happy born day _TWITTER-ENTITY_","Ayyeee, happy born day _TWITTER-ENTITY_"
28,"I get to work with Ethan Coffey today !!!
",1,1,"I'm workin' with Ethan Coffey today, man!!!","I'm workin' with Ethan Coffey today, ya dig!!!","I'm workin' with Ethan Coffey today, y'all!","I be workin' with Ethan Coffey today, yo!!!","I'm workin' with Ethan Coffey today, y'all!!!"
29,"_TWITTER-ENTITY_ yesss !! â¤ we need to have step-big/little bonding time And we'll be spending next semester together while _TWITTER-ENTITY_ is abroad
",0,1,_TWITTER-ENTITY_ yasss !! ❤️ we gotta get that step-big/little bonding time And next semester gonna be us together while _TWITTER-ENTITY_ out there studying abroad,"_TWITTER-ENTITY_ yesss !! 💖 we gotta do some step-big/little bonding time. Plus, we gonna be together all next semester while _TWITTER-ENTITY_ is overseas.",_TWITTER-ENTITY_ yesss !! 💕 we need us some step-big/little quality time. And we gonna be togetha next semester while _TWITTER-ENTITY_ is overseas.,"_TWITTER-ENTITY_ Yass!! ❤️ we gotta have some step-big/little bonding time. Plus, we gonna be together next semester while _TWITTER-ENTITY_ out there studying abroad.",_TWITTER-ENTITY_ Yasss!! ❤️ We gotta get us some Step-Big/Little bonding time. And we gon' be chillin' next semester while _TWITTER-ENTITY_ is overseas.
30,"_TWITTER-ENTITY_ _TWITTER-ENTITY_ _TWITTER-ENTITY_ gotta be slick
",1,1,_TWITTER-ENTITY_ _TWITTER-ENTITY_ _TWITTER-ENTITY_ gotta stay smooth,_TWITTER-ENTITY_ _TWITTER-ENTITY_ _TWITTER-ENTITY_ gotta be smooth,_TWITTER-ENTITY_ _TWITTER-ENTITY_ _TWITTER-ENTITY_ gotta be smooth,_TWITTER-ENTITY_ _TWITTER-ENTITY_ _TWITTER-ENTITY_ gotta stay smooth,_TWITTER-ENTITY_ _TWITTER-ENTITY_ _TWITTER-ENTITY_ gotta stay smooth
31,"_TWITTER-ENTITY_ thank youu
",1,1,_TWITTER-ENTITY_ thank ya,_TWITTER-ENTITY_ thank ya,_TWITTER-ENTITY_ thank ya,_TWITTER-ENTITY_ thank ya,_TWITTER-ENTITY_ thank ya
32,"Making cupcakes with moms
",1,1,Making cupcakes with momma,Baking cupcakes with my mama.,Makin' cupcakes with moms,Makin' cupcakes with moms,Bakin' cupcakes with moms.
33,"Learning about car insurance in personal finance
",1,1,Learning about car insurance in personal finances.,"Learning about car insurance in personal finance.
",Learning 'bout car insurance in personal finance,Learning about auto insurance in personal finance.,Learning 'bout car insurance in personal finance.
34,"#CalIOutSomebodyBeautiful _TWITTER-ENTITY_ NHS
",1,1,#GivePropsToSomebodyGorgeous _TWITTER-ENTITY_ NHS,#GivePropsToSomebodyBeautiful _TWITTER-ENTITY_ NHS,#GivePropsToSomebodyBeautiful _TWITTER-ENTITY_ NHS,#GivePropsToSomebodyGorgeous _TWITTER-ENTITY_ NHS,#GivePropsToSomebodyBeautiful _TWITTER-ENTITY_ NHS
35,"Sucks being sick cuz u can't ever sleep
",0,1,Hate bein' sick cuz ya can't ever catch no sleep.,Hate bein' ill 'cause you can't ever catch no sleep.,Hate bein' sick cuz you can't never catch no sleep.,Ain't no good bein' sick 'cause you can't eva catch no sleep.,Hate bein' sick cuz can't never catch no sleep
36,"I'm so excited for tomorrow ! My parents are coming into Saint Joe until Monday and I have tomorrow and Saturday off to visit them !
",1,1,I'm super hyped for tomorrow! My folks comin' into Saint Joe till Monday and I got tomorrow and Saturday off to chill with them!,I'm super hyped for tomorrow! My folks comin' into Saint Joe till Monday and I got tomorrow and Saturday off to kick it with them!,I'm hype for tomorrow! My folks comin' into Saint Joe till Monday and I got tomorrow and Saturday off to kick it with them!,I'm too hype for tomorrow! My folks comin' into Saint Joe till Monday and I got tomorrow and Saturday off to chill with 'em!,I'm super hype for tomorrow! My folks comin' to Saint Joe till Monday and I got tomorrow and Saturday off to chill with 'em!
37,"Watching all the big girls freak out when wobble comes on in the club ... And just like
",0,1,"Watching all the thick ladies lose their minds when ""Wobble"" drops in the club... And just like","Watching all the thick queens lose it when ""Wobble"" drops in the club...
","Watching all the thick queens lose their minds when ""Wobble"" hits in the club ... And just like",Watchin' all them thick girls gettin' wild when Wobble starts playin' in the club... And just like,"Watching all the thick queens lose their minds when ""Wobble"" comes on in the club... And just like that."
38,"_TWITTER-ENTITY_ oh prom night .... You have to admit , you were definitely a trip that night .
",1,1,"_TWITTER-ENTITY_ oh prom night.... Ya gotta admit, you was sho' enough a trip that night.","_TWITTER-ENTITY_ oh prom night.... You gotta admit, you was sho' nuff a trip that night.","_TWITTER-ENTITY_ ayo, prom night.... Ya gotta admit, you was wildin' out that night fo' sho'.","_TWITTER-ENTITY_ oh prom night... You gotta admit, you was wildin' that night.","_TWITTER-ENTITY_ oh prom night .... Yo gotta admit, you was sho' a vibe that night."
39,"Last load of laundry is in the dryer . I'm rocking on being productive this morning . Time to hopefully shower and go to campus . So much HW
",0,1,Last load of laundry in the dryer. Been mad productive this morning. Time to hopefully hit the shower and head to campus. Got hella HW.,Last load of laundry in the dryer. I'm killin' it with productivity this morning. Bout to hopefully shower and head to campus. So much HW.,Last batch of laundry in the dryer. I'm killin' it with productivity this mornin'. 'Bout time to hopefully shower and head to campus. Too much HW.,Final load of laundry in the dryer. I'm killin' it with the productivity this mornin'. 'Bout time to hopefully shower and hit the campus. Got tons of HW.,"Last load of laundry in the dryer. I'm killin' it this mornin', y'all. Finna hopefully shower and hit up campus. Mad homework."
40,"_TWITTER-ENTITY_ so did I but they messed mine up
",0,1,"_TWITTER-ENTITY_ man, I did too but they screwed mine up",_TWITTER-ENTITY_ man I did too but they messed mine up bad,"_TWITTER-ENTITY_ man, I did too but they messed mine up too","_TWITTER-ENTITY_ man, me too but they done messed mine up","_TWITTER-ENTITY_ man, I did too but they messed mine up bad"
41,"_TWITTER-ENTITY_ hahaha . okay okay .
",1,1,_TWITTER-ENTITY_ hahaha. aight aight.,_TWITTER-ENTITY_ hahaha. Aight aight.,_TWITTER-ENTITY_ hahaha. aight aight.,hahaha . aight aight .,_TWITTER-ENTITY_ hahaha. aight aight.
42,"Can we talk about how lucky I am ?! Today was a good day for me
",1,1,Can we chop it up 'bout how blessed I be?! Today was a solid day for me.,Can we chop it up 'bout how blessed I am?! Today was a solid day for me.,"Y'all, could we chop it up about how blessed I am?! Today was mad tight for me.",Can we chop it up 'bout how blessed I be?! Today been a good day for me.,Can we chop it up 'bout how blessed I am?! Today was a tight day for me.
43,"_TWITTER-ENTITY_ we shall soon
",1,1,"We finna see real soon, _TWITTER-ENTITY_.","We gon' see real soon, _TWITTER-ENTITY_.","We gon' do that real soon, _TWITTER-ENTITY_.","We gon' do that soon, _TWITTER-ENTITY_.","We gon' do this soon, _TWITTER-ENTITY_"
44,"I do get on Twitter for her lol
",1,0,I only log into Twitter because of her.,I only use Twitter because of her.,I only use Twitter because of her.,"I do use Twitter because of her, laughing out loud.",I only use Twitter because of her.
45,"Saturday nights at work aren't the same without _TWITTER-ENTITY_
",0,1,Work ain't the same on Saturday nights without _TWITTER-ENTITY_,Work ain't the same on Saturday nights without _TWITTER-ENTITY_,Workin' on Saturday nights really ain't the same without _TWITTER-ENTITY_,Work ain't the same on Saturday nights without _TWITTER-ENTITY_,"Saturday nights at work just ain't hit the same without _TWITTER-ENTITY_
"
46,"I'm in such a good mood
",1,1,I'm feelin' real good right now.,I'm feelin' real good right now.,I'm feelin' real good right now,I'm feelin' real good right now.,I'm feelin' real good right now.
47,"You know it's bad when your French teacher knows you as he girl obsessed with Channing Tatum . "" ""
",1,1,"You know it's a problem when your French teacher know you as the girl crazy over Channing Tatum . "" ""","You know it's real when your French teacher know you as that girl crazy about Channing Tatum . "" """,You know it's a problem when ya French teacher know you as the girl who crazy 'bout Channing Tatum.,You know it's messed up when your French teacher straight up identifies you as the girl obsessed with Channing Tatum.,"It's a problem when ya French teacher know you as the girl who can't get enough of Channing Tatum. "" """
48,"_TWITTER-ENTITY_ i said it was just a joke
",1,1,_TWITTER-ENTITY_ I jus' said it was playin' around,_TWITTER-ENTITY_ I was jus' playin',_TWITTER-ENTITY_ I was jus' playin',_TWITTER-ENTITY_ I was just playin',_TWITTER-ENTITY_ I said it was just a joke
49,"I'm just so happy I got to see you . âºï¸
",1,1,I'm just so glad I got to see you. 😊,I'm just so happy I got to see you. ☺️,I'm just too happy I got to see you. 😊,I'm just so happy I got to see you. 😊,I'm just so thrilled I got to see ya. ☺️
50,"I have the man of my dreams .
",1,1,I got the man of my dreams.,I got the man of my dreams.,I got the man of my dreams.,I got the man of my dreams.,I got the man of my dreams.
51,"gonna realize I really have no friends when I can't drive ..
",0,1,Finna realize I ain't got no homies when I can't whip...,finna realize I deadass ain't got no friends when I can't whip..,Finna realize I ain't got no friends when I can't whip...,Finna realize I ain't got no friends when I can't whip...,Finna realize I really ain't got no friends when I can't whip...
52,"_TWITTER-ENTITY_ you're so loved
",1,1,_TWITTER-ENTITY_ you so loved,_TWITTER-ENTITY_ you so loved,_TWITTER-ENTITY_ you real loved,"_TWITTER-ENTITY_, you is so loved",_TWITTER-ENTITY_ you so loved
53,"It's to cold to go to school
",0,1,It's too chilly to be headin' to school.,It's too chilly to be headin' to school.,It's too chilly to be headin' to school.,It's too chilly to hit up school.,It's too cold to be hittin' up school.
54,"Getting ratchet with my barn fam tonight #ohno
",1,1,Finna get turnt with my barn crew tonight #lawdhelpus,Finna get turnt with my barn fam tonight #ohno,Getting turnt up with my barn clique tonight #uhoh,Turnin' up with my barn crew tonight #uhoh,Gon' get rowdy with my barn crew tonight #ohlord
55,"_TWITTER-ENTITY_ _TWITTER-ENTITY_ I saw her video of you driving .... I was scared for her
",1,1,_TWITTER-ENTITY_ _TWITTER-ENTITY_ I peeped that video of you behind the wheel...I was shook for her.,_TWITTER-ENTITY_ _TWITTER-ENTITY_ I peeped her video of you whippin'... I was shook for her,_TWITTER-ENTITY_ _TWITTER-ENTITY_ I peeped her video of you whippin'... I was shook for her,_TWITTER-ENTITY_ _TWITTER-ENTITY_ I peeped her video of you whippin'... had me shook for her.,_TWITTER-ENTITY_ _TWITTER-ENTITY_ I peeped her video of you whippin'....I was shook for her
56,"Steve says the prettiest thing I have is my eyes . Then he adds \even if they are rolling at me half the time . "" #hahah I do do it a lot . âºï¸ ""
",1,1,"Steve say the most beautiful thing I got is my eyes. Then he throw in ""even if they stay rolling at me half the time."" #lol I sure do it a lot. ☺️","Steve say the prettiest thing I got is my eyes. Then he add ""even if they be rolling at him half the time."" #lol I be doin' it a lot. 😊","Steve be sayin' the most beautiful thing I got is my eyes. He also say, ""even though they be rolling at him half the time."" #hahah I do be doin' it a lot. 😄","Steve say the most beautiful thing I got is my eyes. Then he throw in ""even if they be rolling at him most of the time."" #LOL I do be doing it often. 😊","Steve say the prettiest thing I got is my eyes. Then he be like ""even if they be rollin' at me half the time."" #haha I sure do it a lot. 😊"
57,"I am seriously sleeping in a hotel room with one queen bed with 6 other people . I guess it's a good thing that I love my family dearly .
",1,1,I'm for real sleepin' in a hotel room with one queen bed with 6 other folks. I guess it's a blessin' that I really love my fam like that.,"For real, I'm campin' out in a hotel room with a single queen bed and six other folks. Guess it's a good thing I'm real tight with my family.",I'm for real sleepin' in a hotel room wit one queen bed wit 6 other folks. Guess it's a good thing that I love my fam deeply.,"Ain't no joke, I'm dead sleepin' in a hotel room, one queen bed, with 6 other folks. Guess it's all good 'cause I got mad love for my family.","Forreal doe, I'm out here crashin' in a one queen bed hotel room with 6 other people. Good thing I got mad love for my fam."
58,"\ _TWITTER-ENTITY_ : I see _TWITTER-ENTITY_ is just enjoying hisself . He better come back home "" wat is this home u speak ofâ ""
",0,1,"\_TWITTER-ENTITY_ : I see _TWITTER-ENTITY_ just havin' a good time. He need to get hisself back home ""what dis home you talkin' 'bout?""","\_TWITTER-ENTITY_ : I see _TWITTER-ENTITY_ just out here living his best life. He need to bring it on back home ""what's this home you talkin’ ‘bout though?""","""_TWITTER-ENTITY_: I see _TWITTER-ENTITY_ just out here enjoying himself. He best come back home"" ""what's this home you talkin' bout?""","\ _TWITTER-ENTITY_ : I see _TWITTER-ENTITY_ out there just living his best life. He need to bring hisself back home "" what's this home you talkin' about? ""","\_TWITTER-ENTITY\_ : I see _TWITTER-ENTITY_ just out here living his best life. He need to make his way back home ""what home you talkin' 'bout though?"""
59,"_TWITTER-ENTITY_ _TWITTER-ENTITY_ woot ! Well that's a first ever for me ....
",1,1,_TWITTER-ENTITY_ _TWITTER-ENTITY_ aight! That's a first time for me ever...,_AIN'T NO TWITTER ENTITIES_ _AIN'T NO TWITTER ENTITIES_ yo! That's deadass the first time ever for me...,"_TWITTER-ENTITY_ _TWITTER-ENTITY_ ayy! That's a first time for me, ya know....","_TWITTER-ENTITY_ _TWITTER-ENTITY_ ayy! That's a first for me, ain't never happened before...","_TWITTER-ENTITY_ _TWITTER-ENTITY_ Ayy! That's a first time for me, ya know..."
60,"Ugh I miss _TWITTER-ENTITY_ so much
",0,1,"Man, I be missin' _TWITTER-ENTITY_ so much","Man, I miss _TWITTER-ENTITY_ like crazy.",Ugh I miss _TWITTER-ENTITY_ like crazy,"Man, I miss _TWITTER-ENTITY_ like crazy.","Ugh, I miss _TWITTER-ENTITY_ a whole lot."
61,"_TWITTER-ENTITY_ thankkkk you
",1,1,_TWITTER-ENTITY_ thank ya,_TWITTER-ENTITY_ thankkkk youuu,_TWITTER-ENTITY_ thankkk youuu,_TWITTER-ENTITY_ thankkkk ya,_TWITTER-ENTITY_ thank ya
62,"Wisdom teeth are so painful
",0,1,Wisdom teeth be hurtin' real bad.,Wisdom teeth be so painful.,Wisdom teeth be hurtin' so bad,Wisdom teeth be so hurtin,Wisdom teeth be hurtin' real bad.
63,"i finally get to come home today âºï¸
",1,1,I finally get to come home today 😊,I finally get ta come home today 😊,I finally get to come home today 😊,I finna come home today 😊,I finally get to come home today 😊
64,"Gonna kiss the poop outta both my babes today #sickolove
",1,1,Finna smooch the hell outta both my shorties today #sickolove,Finna smooch the heck out my baes today #sickwithlove,Finna smooch the hell outta both my babies today #crazyinlove,Finna shower both my babies with kisses today #crazyinlove,Finna shower both my lil' ones with lotsa kisses today #crazyboutlove
65,"Somebody take me to the game
",0,1,Somebody gon' take me to the game.,"Somebody take me to the game.
Translation: Somebody take me to the game.",Somebody scoop me up for the game.,Somebody come scoop me for the game.,"Somebody take me to the game.

Translation: Somebody gotta take me to the game."
66,"_TWITTER-ENTITY_ We have the perfect song to keep us on a \steady pace "" . ""
",1,1,"_TWITTER-ENTITY_ We got the perfect jam to keep us movin' at a smooth rhythm"".","_TWITTER-ENTITY_ We got the perfect jam to keep us movin' at a smooth pace "". ""","_TWITTER-ENTITY_ We got the perfect jam to keep us movin' smooth "" . ""","_TWITTER-ENTITY_ We got the perfect song to keep us movin' at a ""steady pace"".""","_TWITTER-ENTITY_ We got the perfect jam that keep us movin' at a steady pace "" . """
67,"_TWITTER-ENTITY_ thank you
",1,1,_TWITTER-ENTITY_ appreciate it,_TWITTER-ENTITY_ appreciate it,_TWITTER-ENTITY_ appreciate ya,_TWITTER-ENTITY_ appreciate you,_TWITTER-ENTITY_ good lookin' out
68,"Practically all my \spending money "" goes towards food at #TraderJoes ... I cant help it I love this place ! ""
",1,1,"Almost all my ""extra cash"" goes on grub from #TraderJoes... Can't help it, I'm in love with this joint!","Nearly all my ""spending money"" be on food at #TraderJoes... Can't help it, I just love this spot!","Almost all my money that's meant for splurgin' ends up being spent on food from #TraderJoes... Can't help it, I'm straight up in love with this place!","Nearly all my ""cash"" be going on grub at #TraderJoes ... Ain't even mad, I'm crazy bout this joint!","Near about all my ""play money"" be spent on grub at #TraderJoes ... Ain't no fighting it, I love dis spot!"
69,"_TWITTER-ENTITY_ so proud of my baby
",1,1,_TWITTER-ENTITY_ mad proud of my shorty,_TWITTER-ENTITY_ so proud of my lil one,_TWITTER-ENTITY_ so proud of my lil one,_TWITTER-ENTITY_ so proud of my lil one,_TWITTER-ENTITY_ so proud of my lil one
70,"I'm just saying I have 24 Bandannas packed â _TWITTER-ENTITY_ #SpringBreak2k13
",1,1,"Just sayin', I got 24 bandannas ready for this trip, feel me? #SpringBreak2k13",I'm just sayin' I got 24 Bandannas packed up 🌞 _TWITTER-ENTITY_ #SpringBreak2k13,I'm just sayin' I got 24 bandannas packed up 🌞 _TWITTER-ENTITY_ #SpringBreak2k13,Just sayin' I got 24 bandannas packed up 🌞 _TWITTER-ENTITY_ #SpringBreak2k13,Just sayin' I got 24 Bandannas packed up ✨ _TWITTER-ENTITY_ #SpringBreak2k13
71,"_TWITTER-ENTITY_ _TWITTER-ENTITY_ next Sunday is going to be ridiculous !!!
",1,1,_TWITTER-ENTITY_ _TWITTER-ENTITY_ next Sunday 'bout to be wild !!!,_TWITTER-ENTITY_ _TWITTER-ENTITY_ next Sunday finna be wild y'all !!!,_TWITTER-ENTITY_ _TWITTER-ENTITY_ come next Sunday gonna be off the chain!!!,_TWITTER-ENTITY_ _TWITTER-ENTITY_ next Sunday finna be too wild !!!,_TWITTER-ENTITY_ _TWITTER-ENTITY_ next Sunday finna be crazy as hell !!!
72,"_TWITTER-ENTITY_ lol high school kid making money ... How is that possibly a bad thing ?! #fuckthem
",1,1,_TWITTER-ENTITY_ lol high school shorty gettin' bread... How that possibly be a bad thing?! #fuckthem,_TWITTER-ENTITY_ lol high school kid makin' money... How that possibly a bad thing?! #fuckthem,_TWITTER-ENTITY_ lol high school shorty gettin' paper... How that even be a bad thing?! #fuckthem,_TWITTER-ENTITY_ lol high school kid stackin' bread... How that s'posed to be bad?! #fuckthem,_TWITTER-ENTITY_ lol high school youngin stackin paper ... How that even be a bad thing?! #fuckthem
73,"_TWITTER-ENTITY_ you look so different . Pretty but different !!
",1,1,_TWITTER-ENTITY_ you lookin' real different. Fine but different!,_TWITTER-ENTITY_ you lookin' real different. Cute but different!!,_TWITTER-ENTITY_ you look so different. Beautiful but different!,_TWITTER-ENTITY_ you lookin' real different. Cute but different!,_TWITTER-ENTITY_ you lookin' so different. Cute but different!
